"Id","Elected","Amount","Label","Size","Color","ElectColor"
"kat cammack",TRUE,140850,"Kat Cammack",3.27247008467136,"red","red"
"barbara caraway",FALSE,17500,"Barbara Caraway",2.65646320529195,"blue","grey"
"salud carbajal",TRUE,114989,"Salud Carbajal",3.20675388614027,"blue","blue"
"tony cardenas",FALSE,150000,"Tony Cardenas",3.29313190017907,"blue","grey"
"jan carey",FALSE,12743,"Jan Carey",2.57351775183404,"blue","grey"
"mike carey",TRUE,194350,"Mike Carey",3.37954671876669,"red","red"
"mike cargile",FALSE,19000,"Mike Cargile",2.67839952994577,"red","grey"
"jerry carl",TRUE,126210,"Jerry Carl",3.23675163963649,"red","red"
"jim carlin",FALSE,20100,"Jim Carlin",2.69351628566742,"red","grey"
"monica carpio",FALSE,1786,"Monica Carpio",2.11440484586296,"red","grey"
"stephen carra",FALSE,40995,"Stephen Carra",2.89249814480123,"red","grey"
"andre carson",TRUE,95725,"Andre Carson",3.14849158938505,"blue","blue"
"buddy carter",TRUE,120700,"Buddy Carter",3.22233528572701,"red","red"
"john carter",TRUE,125650,"John Carter",3.23531260132636,"red","red"
"troy carter",TRUE,188173,"Troy Carter",3.36864876205748,"blue","blue"
"matt cartwright",TRUE,284948,"Matt Cartwright",3.51136973289254,"blue","blue"
"ed case",TRUE,112100,"Ed Case",3.19860462783824,"blue","blue"
"sean casten",TRUE,325098,"Sean Casten",3.5579630190103,"blue","blue"
"jose castillo",FALSE,10227,"Jose Castillo",2.51753099179904,"red","grey"
"kathy castor",TRUE,208053,"Kathy Castor",3.40265093092629,"blue","blue"
"john castorani",FALSE,27220,"John Castorani",2.77644332088824,"red","grey"
"joaquin castro",TRUE,96900,"Joaquin Castro",3.15233509997274,"blue","blue"
"madison cawthorn",FALSE,143400,"Madison Cawthorn",3.27834696316971,"red","grey"
"brent centers",FALSE,35700,"Brent Centers",2.85277041276625,"red","grey"
"steve chabot",FALSE,166600,"Steve Chabot",3.32787878950027,"red","grey"
"justin chaires",FALSE,1804,"Justin Chaires",2.11652622165748,"blue","grey"
"jay chen",FALSE,238563,"Jay Chen",3.44953303785897,"blue","grey"
"liz cheney",FALSE,238200,"Liz Cheney",3.44900779349209,"red","grey"
"sheila cherfilus-mccormick",FALSE,108800,"Sheila Cherfilus-Mccormick",3.18906146318579,"blue","grey"
"steve chess",FALSE,2750,"Steve Chess",2.20766549269901,"red","grey"
"vivian childs",FALSE,3700,"Vivian Childs",2.27415557997424,"red","grey"
"candy christophe",FALSE,16050,"Candy Christophe",2.63358599285431,"blue","grey"
"judy chu",TRUE,101800,"Judy Chu",3.16792417279261,"blue","blue"
"jon chuba",FALSE,2799,"Jon Chuba",2.2115679618221,"red","grey"
"david cicilline",TRUE,154220,"David Cicilline",3.30228133525459,"blue","blue"
"katherine clark",TRUE,227500,"Katherine Clark",3.43319238130983,"blue","blue"
"yvette clarke",TRUE,128597,"Yvette Clarke",3.24282179851539,"blue","blue"
"mark clay",FALSE,2521,"Mark Clay",2.18855408959906,"red","grey"
"emanuel cleaver",TRUE,128500,"Emanuel Cleaver",3.24257711120913,"blue","blue"
"ben cline",TRUE,111800,"Ben Cline",3.19774759040978,"red","red"
"michael cloud",TRUE,124639,"Michael Cloud",3.23269994320237,"red","red"
"james clyburn",TRUE,184000,"James Clyburn",3.36110269664209,"blue","blue"
